url,api_information_source_name,created_at,updated,list_source,certified_api_developer_name,capability_fhir_version,format,http_response,http_response_time_second,smart_http_response,errors,cap_stat_exists,kind,requested_fhir_version,is_chpl
https://connect.pointclickcare.com/fhir/R4/6b7b8f72-3a25-441c-bc3e-f6176724c5cc/,"",24/5/2025 14:02,9/6/2025 0:35,https://fhir.pointclickcare.com/R4endpoints.json,PointClickCare Technologies Inc.,4.0.1," application/fhir+xml, xml, application/fhir+json, json, application/x-turtle, ttl, html/json, html/xml, html/turtle ",200,0.0878,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/23093/brand/1/csg/1/fhir/r4/,K Medical Associates,24/5/2025 9:17,9/6/2025 2:21,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1654,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/14639/brand/1/csg/1/fhir/r4/,IDAHO FALLS COMMUNITY HOSPITAL,24/5/2025 8:30,9/6/2025 1:28,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1597,200,"",TRUE,instance,None,true
https://connect.pointclickcare.com/fhir/R4/800ae54c-c0c1-4878-b87d-ebc2c42dfb8f/,"",24/5/2025 12:54,9/6/2025 8:16,https://fhir.pointclickcare.com/R4endpoints.json,PointClickCare Technologies Inc.,4.0.1," application/fhir+xml, xml, application/fhir+json, json, application/x-turtle, ttl, html/json, html/xml, html/turtle ",200,0.0902,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/2229/brand/1/csg/361/fhir/r4/,"",24/5/2025 11:36,8/6/2025 23:37,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1561,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/1570/brand/2/csg/381/fhir/r4/,"",24/5/2025 12:08,8/6/2025 23:42,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1518,200,"",TRUE,instance,None,true
https://fhir-api.fhirprod.aws.greenwayhealth.com/fhir/R4/2.16.840.1.113883.3.140.73146/,Northern Ohio Family Practice,11/5/2025 5:17,9/6/2025 1:28,https://fhir-servicebaseurl.fhirhlprod.greenwayhealth.com/servicebundle.json,"Greenway Health, LLC",4.0.1,"
","","","","","","","",""
    application/fhir+json,"","","","","","","","","","","","","","",""
"  """,200,0.3753,200,"",TRUE,instance,None,"","","","","","","",""
https://allergyimmunology.prognocis.com/prognocis/fhir/allergyimmunology/,"",24/5/2025 13:47,9/6/2025 6:12,https://fhirurls.prognocis.com/fhirurlpublication/api/endpoint,Bizmatics Inc.,4.0.0," application/fhir+xml, application/fhir+json ",200,0.2255,406,"",TRUE,instance,None,true
https://fhir.fhirpoint.open.allscripts.com/fhirroute/open/10029988/,"Neurology Specialists, P.C.",11/5/2025 0:27,9/6/2025 1:21,https://open.platform.veradigm.com/fhirendpoints/download/R4?endpointFilter=Patient,Veradigm,1.0.2,"xml,json",200,1.3443,404,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/17386/brand/1/csg/1/fhir/r4/,Plante Wellness,24/5/2025 15:02,9/6/2025 4:58,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1095,200,"",TRUE,instance,None,true
https://app.meldrx.com/api/fhir/paydc_6050/,"",11/5/2025 4:01,9/6/2025 5:38,https://app.meldrx.com/api/Directories/fhir/endpoints,Darena Solutions LLC,4.0.1,"json,xml",200,0.0515,200,"",true*,capability,None,true
https://api.platform.athenahealth.com/1469/brand/1/csg/21/fhir/r4/,GMH LAB,24/5/2025 12:55,8/6/2025 23:51,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1741,200,"",TRUE,instance,None,true
https://fhir-api.fhirprod.aws.greenwayhealth.com/fhir/R4/2.16.840.1.113883.3.140.61371/,"Joann Urquhart, M.D.",11/5/2025 3:29,9/6/2025 5:24,https://fhir-servicebaseurl.fhirhlprod.greenwayhealth.com/servicebundle.json,"Greenway Health, LLC",4.0.1,"
","","","","","","","",""
    application/fhir+json,"","","","","","","","","","","","","","",""
"  """,200,0.3374,200,"",TRUE,instance,None,"","","","","","","",""
https://providerapi.advancedmd.com/v1/r4/36031/,"",23/5/2025 19:53,8/6/2025 23:47,https://providerapi.advancedmd.com/v1/r4/endpoints,AdvancedMD,4.0.1,"
","","","","","","","",""
              application/fhir+xml,"","","","","","","","","","","","","","",""
              application/fhir+json,"","","","","","","","","","","","","","",""
"            """,200,0.1343,404,"",true*,requirements,None,"","","","","","","",""
https://api.platform.athenahealth.com/1523/brand/2/csg/22/fhir/r4/,"",24/5/2025 11:50,9/6/2025 5:37,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1532,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/12173/brand/1/csg/1/fhir/r4/,MT SINAI SAINT LUKE'S HOSPITAL,24/5/2025 6:43,9/6/2025 5:33,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1549,200,"",TRUE,instance,None,true
https://fhir.fhirpoint.open.allscripts.com/fhirroute/open/10026655/,MidMichigan Obstetrics & Gynecology,11/5/2025 1:39,8/6/2025 23:55,https://open.platform.veradigm.com/fhirendpoints/download/R4?endpointFilter=Patient,Veradigm,4.0.1,"json,xml",200,0.3895,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/10416/brand/1/csg/1/fhir/r4/,Synergy Psychiatry Center,24/5/2025 6:22,9/6/2025 6:36,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.0941,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/14276/brand/1/csg/1/fhir/r4/,MedPoint Behavioral Health Services,24/5/2025 14:40,9/6/2025 4:16,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1265,200,"",TRUE,instance,None,true
https://fhir4.eclinicalworks.com/fhir/r4/GDEADD/,"",24/5/2025 8:53,9/6/2025 8:37,https://fhir.eclinicalworks.com/ecwopendev/external/practiceList?pageId=1,"eClinicalWorks, LLC",4.0.1," xml, json ",200,0.0712,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/28635/brand/1/csg/1/fhir/r4/,Southern MD House Calls,24/5/2025 7:27,9/6/2025 6:36,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.092,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/15910/brand/1/csg/1/fhir/r4/,Shifa Free Clinic,24/5/2025 13:43,8/6/2025 23:36,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1559,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/31853/brand/1/csg/1/fhir/r4/,MD Cypress,24/5/2025 7:01,9/6/2025 8:11,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1193,200,"",TRUE,instance,None,true
https://fhir-usa.unify.chbase.com/org/gcgrape-e58a524f/,"",24/5/2025 8:23,9/6/2025 7:29,https://fhir-usa.unify.chbase.com/.well-known/endpoint,"TruBridge, Inc.",4.0.1,"application/fhir+json,application/fhir+xml",200,0.6355,200,"",true*,capability,4,true
https://app.meldrx.com/api/fhir/ez_00188/,"",11/5/2025 0:27,9/6/2025 3:44,https://app.meldrx.com/api/Directories/fhir/endpoints,Darena Solutions LLC,4.0.1,"json,xml",200,0.0255,200,"",true*,capability,None,true
https://api.practicefusion.com/fhir/r4/v1/a9ce6f21-292a-44f3-99c4-fe0522692f7a/,Virtual Recovery Solutions,11/5/2025 3:07,9/6/2025 8:00,https://www.practicefusion.com/assets/static_files/ServiceBaseURLs.json,Practice Fusion,4.0.1,json,200,0.1319,200,"",true*,capability,None,true
https://api.platform.athenahealth.com/7872/brand/1/csg/1/fhir/r4/,"MUNIRA DUDHBHAI, MD PLLC",24/5/2025 6:51,9/6/2025 8:00,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.1067,200,"",TRUE,instance,None,true
https://api.platform.athenahealth.com/2119/brand/1/csg/21/fhir/r4/,SIERRA VIEW DISTRICT HOSPITAL,24/5/2025 6:01,9/6/2025 7:46,https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",4.0.1,"json,application/json,application/json+fhir,application/fhir+json",200,0.153,200,"",TRUE,instance,None,true
